Time (ms),RB_Joint2,RB_Joint1,RB_Joint3
7233,24.4634819,25.10627174,-14.28202724
7267,16.67952538,27.46575928,-10.72230339
7300,5.582039833,44.25224686,-2.409280777
7333,-5.204296589,51.28952789,-9.959644318
7367,-8.473566055,20.98049545,-35.19849014
7400,-2.824009895,-13.37316799,-52.1349678
7433,-2.916012526,-1.255661845,-37.23064041
7467,-17.22211456,31.50875473,1.07288599
7500,-25.39006615,17.33317375,40.07370758
7533,-8.251652718,-27.64197922,62.24522018
7567,19.59512711,-30.34980965,55.471035
7600,27.39281273,2.165852785,26.73680878
7633,9.179875374,9.421972275,-0.397004724
7667,-8.762687683,-2.703525305,-15.06200123
7700,-7.44535017,7.17149353,-21.74294853
7733,1.836057305,9.741624832,-23.7364769
7767,3.631748199,-57.91064835,-20.10380554
7800,-0.930886507,-154.8009033,-13.60962963
7833,-7.590833187,-170.4233093,-12.92473221
7867,-17.04425812,-114.8606949,-17.49884033
7900,-23.79384995,-79.24152374,-10.5373764
7933,-17.14127922,-51.87555695,12.01536083
7967,0.198348686,11.80912304,26.89806938
8000,11.65359974,55.12351608,23.16591644
8033,9.452810287,24.42618942,16.73567009
8067,0.148556605,-33.0643959,17.39628601
8100,-5.37600708,-51.53110886,19.99162102
8133,3.16200161,-8.769552231,17.64555359
8167,20.82138634,82.22249603,4.575543404
8200,22.56175232,154.6314392,-21.89775467
8233,-2.82964468,137.0204163,-49.64618301
8267,-28.88268471,50.42707825,-52.02708435
8300,-22.86675453,-29.80803871,-15.66473198
8333,10.98570919,-58.57720566,30.88399887
8367,36.5133667,-40.94588852,42.60593033
8400,30.47859192,-11.84703064,18.18896294
8433,6.154853821,-0.817368686,-4.874090672
8467,-11.95614243,-9.295340538,-4.229867458
8500,-17.18625641,-21.34194946,10.91522217
8533,-15.03065109,-24.87882614,14.72493172
8567,-9.654437065,-14.38970566,-9.588560104
8600,-7.394123554,9.733018875,-43.7013588
8633,-14.02599716,35.76546097,-51.91950989
8667,-22.49966621,43.12915802,-18.49078941
8700,-18.30422211,21.59336853,43.42248154
8733,2.419628382,-11.6572876,92.5934906
8767,24.0045948,-26.05949211,88.90692902
8800,26.37330437,-12.95454597,43.66047668
8833,10.13750267,4.879828453,4.897142887
8867,-9.082238197,5.559295654,-7.883131027
8900,-21.39409828,-4.924088001,-16.29860687
8933,-21.42042732,-5.261567593,-32.04591751
8967,-12.68468475,13.84813976,-40.55646515
9000,-12.10449409,39.01874924,-38.52246857
9033,-21.64766884,43.83751678,-37.312603
9067,-19.1734314,10.96634579,-35.02647018
9100,6.053527832,-42.12880707,-14.82605267
9133,35.03425598,-69.2999115,24.26605606
9167,39.93498611,-48.25405502,49.88285065
9200,14.48970032,-6.891797066,39.36555099
9233,-18.89189148,20.72395325,16.22566032
9267,-34.96161652,31.48191261,8.125329971
9300,-26.25251389,29.44064331,10.48153877
9333,-2.557325125,13.92866707,8.624171257
9367,14.18695068,2.748399496,-2.904332876
9400,6.474608898,14.99233341,-21.80093765
9433,-18.6543045,33.52030945,-42.70592499
9467,-33.76507187,20.62826157,-52.14162827
9500,-17.56983948,-28.88043022,-28.32195854
9533,20.50695801,-72.27596283,20.43605995
9567,44.11936569,-71.08402252,50.25403595
9600,29.73201752,-40.30064011,41.04270554
9633,-3.638407707,-19.53529549,14.76540089
9667,-22.07366753,-12.80393982,-2.773090839
9700,-17.34536552,-1.6931355,-4.97797823
9733,-0.821056962,5.938985825,-2.29412365
9767,14.51121521,-5.794937134,-14.12189293
9800,13.31251621,-25.36936951,-41.74040985
9833,-7.77780962,-34.15879822,-54.22664261
9867,-25.73748207,-31.68210602,-28.20598221
9900,-18.94055748,-25.80500031,17.7424736
9933,4.099547386,-21.32268715,42.75571823
9967,19.20969963,-16.62522507,32.23350525
10000,16.41130447,-11.85112858,10.52866745
10033,6.389675617,-29.13707542,-1.491713166
10067,-0.347622454,-90.24157715,-7.047115326
10100,-5.912655354,-150.670105,-11.71210003
10133,-10.06342888,-135.182312,-13.43556213
10167,-5.128788471,-55.38722992,-16.15875816
10200,3.26363492,12.50129414,-25.68697357
10233,-1.755939126,33.00220871,-27.49926186
10267,-15.77671242,19.11687851,-3.955294132
10300,-16.45914841,-7.539402008,35.61751938
10333,-0.386554539,-25.27081108,63.54903793
10367,15.60203075,-21.2284317,54.63348389
10400,21.00897789,-5.9710536,15.34999657
10433,22.42098236,2.391248941,-16.41232872
10467,26.55597878,1.25197351,-22.52620125
10500,18.88973999,-1.930518866,-18.70429993
10533,-9.879526138,-4.022400856,-21.27853012
10567,-31.8575058,-5.409714222,-29.64431953
10600,-26.56499481,-1.809624434,-34.71245193
10633,-16.37093735,13.7472229,-29.36554527
10667,-18.91453362,34.37128448,-11.34542179
10700,-18.85541916,38.20261002,11.76558018
10733,-3.259844065,16.6770668,20.93613243
10767,16.05569077,-11.84672356,6.02996397
