Time (ms),RB_Joint2,RB_Joint1,RB_Joint3
2467,7.720743179,-1.429421902,-28.5189743
2500,-0.548122644,1.919966221,-27.50346184
2533,-28.79344749,-17.57004547,-25.70900154
2567,-56.96182632,-24.65937233,-26.02680969
2600,-57.97795868,-1.993732214,-26.92030144
2633,-36.9277916,25.21159172,-25.10401726
2667,-14.15867424,31.28930092,-19.96498299
2700,2.559886456,16.97540855,-16.4321022
2733,13.27399349,-3.354920387,-18.53269196
2767,17.87658501,-15.65602303,-23.2756958
2800,14.90709305,-15.2306385,-25.55772972
2833,0.078786224,-5.111781597,-23.77878952
2867,-21.07208824,9.814776421,-19.85884094
2900,-33.29481125,17.17970085,-16.48967934
2933,-33.61169815,9.117892265,-12.47060966
2967,-26.10293198,2.835074663,-3.124555111
3000,-9.700950623,16.12259293,11.7467289
3033,10.75580502,32.14990616,25.26215363
3067,23.23046112,20.5014267,30.20524788
3100,21.86343384,-16.7100563,25.74813843
3133,11.92479229,-44.36617279,18.1797924
3167,3.428584099,-38.8814621,13.9601717
3200,3.145506859,-12.04722309,14.97435284
3233,9.537845612,13.09183216,20.83654976
3267,12.20295143,20.39528465,26.22075272
3300,4.25414896,-1.418152094,21.63168526
3333,-3.694756746,-39.29516602,8.005254745
3367,1.229024172,-49.45992279,-0.760507345
3400,9.966918945,-3.313939333,3.332688093
3433,2.02579999,75.79603577,14.76140499
3467,-25.15001869,127.476944,26.21501541
3500,-50.47492218,101.8479462,30.3563652
3533,-54.64890289,13.11416721,18.53320503
3567,-40.97898102,-60.43569946,-2.129891872
3600,-21.04473305,-51.42824554,-10.78510666
3633,-4.153181553,21.50566864,-1.561688542
3667,-0.092975944,73.55641937,11.82039261
3700,-2.239260197,54.36474991,15.11179352
3733,2.041014194,-5.116904259,5.84534359
3767,6.635152817,-44.95732498,-5.202861786
3800,1.300023913,-37.50941467,-4.173518181
3833,-15.75637531,0.475790977,11.67542171
3867,-42.07696533,33.44900513,32.44886398
3900,-63.81305695,35.25135422,43.96804047
3933,-61.36177063,2.388790131,39.98590469
3967,-37.18571472,-37.86308289,27.68992615
4000,-10.71999836,-43.89898682,15.52109241
4033,6.362679482,-7.920014381,5.363200665
4067,10.10123444,28.81076241,-2.148230791
4100,2.392785788,26.20231056,-5.939702988
4133,-7.234655857,-6.342444897,-4.320333481
4167,-9.002785683,-25.44784927,4.969781876
4200,-1.331476927,-7.786620617,18.01776505
4233,7.523470402,24.4169693,23.18005562
4267,8.560190201,33.25967026,15.02112293
4300,0.80650866,7.98312521,2.489091396
4333,-11.610672,-28.08642006,-5.609189987
4367,-22.48214722,-42.99986267,-10.49741936
4400,-22.99164391,-27.56411552,-13.23588085
4433,-10.14170265,-1.364056945,-11.83832169
4467,8.950791359,15.20912361,-9.089307785
4500,26.70832634,21.41038704,-7.909051895
4533,36.9199028,24.7726841,-5.199071407
4567,30.57720375,24.9962368,-0.440239817
4600,5.900514603,16.64120865,0.91254741
4633,-22.4494133,0.4835774,-2.054179192
4667,-37.34799957,-13.9610424,-2.677707195
4700,-35.76832962,-15.41320992,2.753624678
4733,-22.93176079,-1.532489419,9.646651268
4767,-2.861456394,17.86736298,10.84760284
4800,17.4994545,31.3888855,2.786716938
4833,25.83865547,33.27278519,-12.64308929
4867,14.3130188,20.5479393,-27.02336884
4900,-9.259174347,-5.066497326,-27.23442078
4933,-26.45198822,-32.14519119,-9.897455215
4967,-26.37709618,-44.53480911,7.03410387
5000,-13.88947868,-33.48199463,4.460181236
