Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
7433,0.053336617,-0.002962017,-0.00046978,0.003539085
7467,0.066988096,-0.071428008,-0.031107614,0.006405258
7500,0.050102483,-0.075299829,-0.037206743,0.001526069
7533,0.027170239,-0.027280137,-0.020837402,0.00690186
7567,0.011757713,0.023508165,0.004433441,0.022494936
7600,0.00329268,0.040210821,0.027940461,0.0324126
7633,-0.001176381,0.034326836,0.049813837,0.034859847
7667,-0.00336442,0.047858901,0.072568409,0.043999888
7700,-0.003890365,0.090063855,0.088694856,0.061646529
7733,-0.000974339,0.112606704,0.082758807,0.06709256
7767,0.009189659,0.07390222,0.048725791,0.043993305
7800,0.026967805,-0.003185749,0.001895428,0.005044341
7833,0.042838488,-0.061712548,-0.030095384,-0.019553088
7867,0.04407452,-0.063081257,-0.027132509,-0.009549021
7900,0.030829899,-0.003044128,0.010212421,0.031615481
7933,0.015239881,0.083521843,0.06039533,0.07767684
7967,0.005405509,0.134117022,0.09527263,0.097629368
8000,0.000681657,0.116396129,0.102610007,0.08507473
8033,-0.0017699,0.072127528,0.094150536,0.062288254
8067,-0.003125131,0.066556543,0.08730869,0.051264558
8100,-0.002074885,0.102314465,0.082500175,0.050057884
8133,0.005233884,0.117412366,0.064878553,0.039025497
8167,0.021792026,0.064562701,0.025987813,0.006363558
8200,0.042669132,-0.0312232,-0.023103617,-0.036362275
8233,0.05443963,-0.10076379,-0.059772488,-0.065295331
8267,0.048877705,-0.10271243,-0.067557044,-0.064967714
8300,0.033267967,-0.052165885,-0.047631163,-0.038591228
8333,0.019373916,0.00690937,-0.016090391,-0.006611108
8367,0.009782692,0.036436841,0.009661674,0.00852195
8400,0.001736382,0.028822802,0.023929022,0.0037395
8433,-0.004310531,0.013939189,0.034353446,-0.002648592
8467,-0.005221841,0.0308135,0.051213738,0.007741212
8500,-0.000909761,0.083102129,0.074236959,0.032344755
8533,0.003710514,0.125742525,0.090071298,0.048579164
8567,0.004435077,0.11106433,0.084895991,0.039573416
8600,0.002555097,0.048470587,0.059453771,0.015713345
8633,0.001633488,-0.008014011,0.029208181,0.001793432
8667,0.002957564,-0.024165913,0.010344028,0.009364557
8700,0.005027465,-0.008010577,0.007737064,0.030579863
