Time (ms),RB_Joint1,RB_Joint2
9467,60.94308853,65.42331696
9500,61.08632278,65.04322052
9533,61.59715271,66.36906433
9567,62.10565186,67.84181976
9600,62.52986908,68.68748474
9633,63.20111465,69.17314911
9667,64.55949402,69.67797089
9700,66.68010712,70.12362671
9733,68.92364502,69.93537903
9767,70.2624054,68.83118439
9800,70.14840698,67.67835999
9833,68.84153748,67.78356171
9867,66.99801636,69.2742691
9900,65.34160614,70.76357269
9933,64.44434357,70.82562256
9967,64.34725189,69.61540222
10000,64.457901,68.27326965
10033,64.1161499,67.42146301
10067,63.16126633,67.01577759
10100,61.98870087,66.88794708
10133,61.35415649,67.0139389
10167,61.82588196,67.30392456
10200,63.11694336,67.54774475
10233,64.29611206,67.6869812
10267,64.71788788,67.86804199
10300,64.41457367,68.30949402
10333,63.82048035,69.05387878
10367,63.31551361,69.81194305
10400,62.79018021,70.2040863
10433,61.82256317,70.05828857
10467,60.20241928,69.50377655
10500,58.19073105,68.84656525
10533,56.59277725,68.18505096
10567,56.03414154,67.28020477
10600,55.978508,66.03046417
10633,55.30903625,64.75357056
10667,53.8326149,63.77849579
10700,52.57342148,63.13453293
10733,52.43935013,62.82023621
10767,53.30291748,63.01080322
10800,54.54442596,63.52965927
10833,55.62794113,63.66262817
10867,56.26125717,63.03709412
10900,56.54066086,62.15299225
10933,56.84231186,61.89427185
10967,57.38563919,62.55781937
11000,57.83110809,63.98216629
11033,57.45541382,66.13951111
11067,56.19466019,68.44364166
11100,55.04140091,69.76981354
11133,54.8427124,70.07865143
11167,55.57024384,70.30013275
11200,56.64015198,70.69241333
11233,57.36734009,70.84646606
11267,57.46137619,70.67176819
11300,57.30838776,70.55199432
11333,57.48143768,70.72566986
11367,57.90748978,70.8294754
11400,57.9520874,70.47164154
11433,57.34159088,69.83725739
11467,56.72431946,69.30897522
11500,57.19592667,69.02362823
11533,59.11194229,68.94566345
11567,61.70470047,69.17705536
11600,64.08662415,70.14030457
11633,66.00064087,72.26926422
11667,67.52767944,75.08455658
11700,68.68255615,76.37937164
11733,69.3138504,73.90018463
11767,69.10401154,69.03053284
11800,67.88890076,66.37363434
11833,66.16420746,68.15457153
11867,64.92831421,72.12276459
11900,64.938591,74.72690582
11933,66.02579498,74.82591248
11967,67.23420715,73.89248657
12000,68.01763916,73.53728485
12033,68.57479858,74.21437836
12067,68.90637207,75.40588379
12100,68.68219757,76.04631042
12133,68.32443237,75.12044525
12167,68.59806824,72.57585144
12200,69.00749969,70.07804108
12233,68.20262146,70.0426712
12267,65.54845428,73.28883362
12300,62.15172195,77.5853653
12333,59.96221161,79.40873718
12367,59.26965714,78.23744965
12400,58.98295212,76.59676361
12433,58.41044617,76.5783844
12467,57.94492722,78.12486267
12500,58.42856598,79.0004425
12533,60.15677643,76.79540253
12567,62.69291306,72.46884918
12600,65.09217072,69.59807587
12633,66.45632172,70.01283264
12667,66.59430695,72.30045319
12700,65.90658569,73.71635437
12733,64.87780762,73.13127899
12767,63.84599304,71.68049622
12800,63.07841492,70.84564209
12833,62.83018112,71.06319427
12867,63.26964188,71.69555664
12900,64.26331329,71.53215027
12933,65.19623566,69.97026825
12967,65.31835175,67.79081726
13000,64.62425232,66.23236084
13033,63.89642715,65.77526855
13067,63.59535217,66.04647064
13100,63.47100067,66.4841156
13133,63.24697876,66.7457962
13167,63.09785461,66.66588593
13200,63.21342087,66.22585297
13233,63.27496719,65.52433777
13267,62.85536194,64.51345825
13300,62.00568771,62.98836517
13333,60.96084595,61.06551743
13367,59.74838257,59.27288818
13400,58.56287384,58.0673027
13433,57.8243866,57.5520668
13467,57.63705826,57.54314041
13500,57.77204895,57.72019958
13533,58.18267441,57.73182678
13567,59.20999527,57.29179001
13600,60.86900711,56.38264847
13633,61.96733475,55.36119461
13667,61.06065369,54.70997238
13700,58.27406693,54.60676575
13733,55.06354904,54.6582756
13767,52.86139679,54.18319702
13800,52.43294525,52.99012756
13833,53.64014435,51.65835953
13867,55.39760208,50.76631165
13900,56.46025848,50.23901749
13933,56.56595612,49.6931572
13967,56.2782135,48.96380234
14000,55.67631912,48.14757156
14033,54.01372147,47.56468201
14067,51.12713242,47.64716721
14100,48.2121582,48.51960754
14133,46.43337631,49.9156456
14167,45.83839798,51.69941711
14200,45.83888245,53.91444397
14233,45.89473724,56.34146118
14267,45.72681808,58.53157425
14300,45.37049103,60.06833267
14333,45.10170746,60.79308319
14367,45.04263687,60.93188477
14400,44.98945999,60.93138123
14433,44.82478714,61.10332489
14467,44.71272659,61.4667778
14500,44.80376816,61.882061
14533,45.07121658,62.25157166
14567,45.29453659,62.62180328
14600,45.13434219,63.15098572
14633,44.36097717,63.926548
14667,42.96185303,64.81867218
14700,41.21218491,65.57420349
14733,39.75593567,66.00337219
14767,39.08692551,66.11712646
14800,38.98970795,66.12797546
14833,39.01046753,66.21521759
14867,39.09880829,66.33685303
14900,39.340271,66.30927277
14933,39.51091003,65.85998535
14967,39.4210701,64.74542236
