Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
1233,-4.99531044787287,-35.781926913628,-34.5264031955053,-11.596052620894
1267,-4.97433513606018,-35.9496867921494,-34.611683416514,-11.59717438478
1300,-5.0081288118555,-35.9703822011493,-34.5846908743602,-11.544629187437
1333,-5.15925660311911,-35.765706241995,-34.426555822051,-11.467280497887
1367,-5.44975035288807,-35.3553201679527,-34.1678470912063,-11.4432177777411
1400,-5.82074050160879,-34.8814983937974,-33.8919082082377,-11.4957819503533
1433,-6.17539986670499,-34.5834711358962,-33.7010533127743,-11.5408705896908
1467,-6.45591422325826,-34.6274828727336,-33.6660087437488,-11.484038102533
1500,-6.65392878273568,-34.9201979115576,-33.7872107336835,-11.3280497963493
1533,-6.77522202268873,-35.2165504037668,-34.0013176020726,-11.1565723634551
1567,-6.83092860463564,-35.3918605819146,-34.2279931705844,-11.049875641294
1600,-6.8459136058702,-35.4977810182667,-34.403119611722,-11.0192946071901
1633,-6.84750163232115,-35.5920441513921,-34.4729153467941,-10.991956857223
1667,-6.84482954384552,-35.606990008936,-34.3818168728985,-10.8627805188687
1700,-6.8207836226692,-35.3858774406412,-34.0852567147595,-10.5692186740297
1733,-6.7436477658407,-34.8224729305722,-33.5832192974877,-10.1337259464637
1767,-6.60235651435205,-33.9863291786918,-32.9514934793586,-9.65952903000775
1800,-6.43697571578154,-33.1428013666922,-32.3349901135712,-9.26589111505452
1833,-6.31199800988719,-32.6131291809259,-31.8812888701466,-9.01783178147732
1867,-6.25639635934638,-32.5271539274856,-31.6545330298981,-8.91310625017097
1900,-6.25007560093082,-32.704440966712,-31.6008918426322,-8.89073446195169
1933,-6.25670750279533,-32.8314566373792,-31.593941325795,-8.8513569681979
1967,-6.24897494903851,-32.7556918096621,-31.5225829109227,-8.71910375695587
2000,-6.21749770916285,-32.5641845326536,-31.345527905562,-8.49287710513887
2033,-6.17466829684377,-32.3671787550306,-31.0731356192483,-8.21883756459652
2067,-6.14174355345183,-32.0402281509816,-30.7177179604476,-7.9205122745359
2100,-6.1236281703185,-31.3169873235191,-30.2748655903152,-7.57915730024575
2133,-6.10321371787319,-30.2241907226109,-29.7486532995736,-7.18270049519431
2167,-6.06236391449263,-29.1508603878449,-29.1799408859708,-6.76998314395621
2200,-6.00477264374958,-28.3838529964846,-28.6374733001277,-6.40888119741457
2233,-5.95306670015083,-27.9120416448011,-28.1825861887585,-6.13591925467413
2267,-5.92065952241997,-27.6474931942356,-27.8409859097747,-5.9317946385533
2300,-5.89504823313946,-27.5167095704345,-27.5864997490798,-5.74218862171874
