Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
7000,0.048836656,0.041140579,0.034480188,0.010380363
7033,0.066082656,0.049003668,0.027900551,0.020418834
7067,0.058630794,0.047135491,0.028304527,0.018004131
7100,0.030729316,0.033503935,0.034592196,0.004871463
7133,0.006078815,0.030907342,0.04938297,-0.003920746
7167,-0.004824239,0.058062881,0.074133821,-0.003224945
7200,-0.010808408,0.105303451,0.103836097,0.001122951
7233,-0.015749555,0.144186959,0.127650544,0.007872104
7267,0.000554341,0.154100701,0.13550362,0.028777311
7300,0.070269577,0.134437174,0.123515934,0.078898139
7333,0.184353262,0.09656781,0.094121352,0.147313774
7367,0.26228863,0.050760552,0.053702541,0.187207878
7400,0.22858867,0.002058792,0.010218287,0.159598157
7433,0.112290949,-0.045006037,-0.02929816,0.078557394
7467,0.010723704,-0.083025888,-0.060922474,-0.003997993
7500,-0.026479838,-0.10624408,-0.083880901,-0.049353786
7533,-0.021716719,-0.114698544,-0.097725242,-0.057083413
7567,-0.009266119,-0.108555496,-0.100902408,-0.048269745
7600,-0.001930404,-0.088228367,-0.094199315,-0.040698338
7633,0.0004112,-0.066189334,-0.083051063,-0.0387537
7667,0.000391298,-0.059128758,-0.072441667,-0.033850763
7700,6.38E-05,-0.061591238,-0.059891362,-0.017150687
7733,-0.000149202,-0.047631022,-0.037318464,0.005507469
7767,-0.001174879,-0.004856014,-0.002220583,0.020917797
7800,-0.00361079,0.047408361,0.035616156,0.025084302
7833,-0.005517357,0.077542014,0.061016746,0.02179699
7867,-0.002867227,0.068563052,0.064944357,0.016587924
7900,0.005441076,0.029304884,0.0496911,0.016674899
7933,0.013644933,-0.009070157,0.027155682,0.022775173
7967,0.01441655,-0.016526697,0.011573123,0.024134729
8000,0.008090114,0.00727744,0.009429788,0.013408183
8033,0.001219672,0.035700556,0.015791988,0.000378227
8067,-0.002311242,0.045076989,0.021879245,0.001031685
8100,-0.002451896,0.036410376,0.024849413,0.017416475
8133,0.002061439,0.028746126,0.028282641,0.0375452
8167,0.012558316,0.032890748,0.034201812,0.050517365
8200,0.023311775,0.039416026,0.03806176,0.051389977
8233,0.024002818,0.034494352,0.033415314,0.037890241
8267,0.013063072,0.015676402,0.019603012,0.015909003
8300,-0.000285745,-0.00839424,0.003408765,0.000504684
8333,-0.007641362,-0.022931669,-0.005575991,-0.001060295
8367,-0.007365506,-0.014624547,-0.001714182,0.0034029
8400,-0.00243119,0.015012644,0.011995839,0.006092548
8433,0.002483028,0.044542264,0.025369117,0.007872104
8467,0.00358454,0.048819777,0.028844401,0.012017153
8500,0.000675792,0.025100468,0.022193242,0.018590925
8533,-0.002563369,-0.001226377,0.015242528,0.023683831
8567,-0.003132033,-0.003248691,0.017559813,0.024174783
8600,-0.00144496,0.019816732,0.028548144,0.022489071
8633,0.002214789,0.0463407,0.040006973,0.021705151
8667,0.008540439,0.057662196,0.045888372,0.021219064
8700,0.014517955,0.054758832,0.047462363,0.020460319
8733,0.014766328,0.052709479,0.051713273,0.019028377
8767,0.009363609,0.064872548,0.066145986,0.015418052
8800,0.002738678,0.093888894,0.092552081,0.012009715
8833,-0.001746297,0.130935848,0.123192638,0.015125083
8867,0.006617974,0.158517256,0.143116087,0.029219339
8900,0.043700781,0.158654019,0.139198482,0.055384822
8933,0.093545571,0.124085844,0.109902181,0.084337808
8967,0.103248157,0.065880485,0.066603176,0.091715515
9000,0.052271742,0.009803294,0.024905775,0.062974833
9033,-0.01145625,-0.024995754,-0.005950355,0.016981028
9067,-0.035559222,-0.045168974,-0.026467893,-0.015212058
9100,-0.020344805,-0.068836778,-0.041360952,-0.022407819
9133,0.003946817,-0.091777176,-0.051686093,-0.013407324
9167,0.01563835,-0.086482003,-0.052875705,-0.001983261
9200,0.009235239,-0.043498706,-0.041904829,0.001955509
9233,-0.00768131,0.005448675,-0.025212763,-0.002652454
9267,-0.021389116,0.021683836,-0.013891982,-0.009003925
9300,-0.020044077,0.00371561,-0.010588074,-0.006825256
9333,0.012480067,-0.015806435,-0.006693649,0.017543791
9367,0.092250101,-0.006394672,0.007077884,0.071728699
9400,0.194127291,0.034045313,0.030598639,0.134084404
9433,0.241087511,0.080077887,0.053957172,0.158301532
9467,0.186688751,0.100343503,0.065178677,0.124302283
